32MMA CPU Loading,MMA CPU Computing,MMA CPU Outputing,MMA Tensor Loading,MMA Tensor Computing,MMA Tensor Outputing,MMA CUDA Loading,MMA CUDA Computing,MMA CUDA Outputing,MMA CUDA Shared Loading,MMA CUDA Shared Computing,MMA CUDA Shared Outputing,MMA CUDA Shared Half Loading,MMA CUDA Shared Half Computing,MMA CUDA Shared Half Outputing,MMA CUDA Shared 16 Tile Loading,MMA CUDA Shared 16 Tile Computing,MMA CUDA Shared 16 Tile Outputing,MMA CUDA Shared Halfs 32 Tile Loading,MMA CUDA Shared Halfs 32 Tile Computing,MMA CUDA Shared Halfs 32 Tile Outputing,MMA Tensor Shared Loading,MMA Tensor Shared Computing,MMA Tensor Shared Outputing,
0.000375,0.018068,0.000129,0.018573,0.001920,0.005822,0.015158,0.009024,0.005787,0.015861,0.007328,0.005966,0.018064,0.001888,0.005706,0.028437,0.008896,0.012887,0.017395,0.007488,0.005740,-1.000000,-1.000000,-1.000000,
0.000402,0.018101,0.000131,0.019446,0.001888,0.005883,0.015685,0.008576,0.006267,0.016121,0.008000,0.005818,0.019240,0.001888,0.005775,0.028412,0.018624,0.005850,0.018168,0.007680,0.005721,-1.000000,-1.000000,-1.000000,
0.000372,0.018205,0.000124,0.018327,0.002048,0.005846,0.015941,0.009728,0.005800,0.015958,0.008192,0.006254,0.018935,0.001920,0.005933,0.014989,0.004288,0.005990,0.017503,0.007520,0.005775,-1.000000,-1.000000,-1.000000,
0.000369,0.018055,0.000131,0.018396,0.001952,0.005820,0.015710,0.010208,0.005956,0.016035,0.008160,0.005899,0.018016,0.001888,0.005895,0.014964,0.004480,0.005793,0.019537,0.007840,0.006260,-1.000000,-1.000000,-1.000000,
0.000380,0.018070,0.000123,0.018679,0.001888,0.005811,0.015670,0.009120,0.005811,0.016100,0.006848,0.006234,0.018772,0.001856,0.005929,0.015056,0.004928,0.005709,0.017919,0.007136,0.006224,-1.000000,-1.000000,-1.000000,
0.000372,0.018068,0.000126,0.019917,0.001888,0.005849,0.015183,0.010176,0.005866,0.016126,0.008032,0.005779,0.018162,0.002048,0.005779,0.015037,0.006016,0.006267,0.017472,0.007040,0.005748,-1.000000,-1.000000,-1.000000,
0.000391,0.018246,0.000138,0.018499,0.002048,0.006265,0.015097,0.010048,0.005795,0.016894,0.007936,0.005881,0.019897,0.001888,0.005794,0.015240,0.006144,0.005770,0.020129,0.007776,0.006285,-1.000000,-1.000000,-1.000000,
0.000373,0.018141,0.000162,0.019173,0.001888,0.006017,0.015468,0.010080,0.005783,0.016682,0.007904,0.006233,0.018712,0.001888,0.006223,0.015529,0.005664,0.006257,0.018124,0.007040,0.005728,-1.000000,-1.000000,-1.000000,
0.000380,0.018503,0.000172,0.020197,0.002048,0.006263,0.015545,0.008896,0.005889,0.016093,0.006816,0.005752,0.018267,0.002016,0.005793,0.015712,0.005824,0.005750,0.018185,0.007488,0.005765,-1.000000,-1.000000,-1.000000,
0.000363,0.018070,0.000122,0.018494,0.002048,0.006396,0.015617,0.009120,0.005813,0.016878,0.008192,0.005836,0.018945,0.000864,0.005791,0.014796,0.004096,0.006221,0.017573,0.008128,0.005823,-1.000000,-1.000000,-1.000000,
0.000386,0.018106,0.000132,0.018699,0.002048,0.006173,0.015102,0.009632,0.005831,0.016109,0.006848,0.005740,0.018138,0.002048,0.005882,0.015316,0.005408,0.005742,0.017354,0.007872,0.006209,-1.000000,-1.000000,-1.000000,
0.000385,0.018199,0.000142,0.019183,0.000896,0.005964,0.015023,0.008960,0.006306,0.016239,0.007680,0.005720,0.024863,0.002048,0.006021,0.015040,0.004512,0.006280,0.017359,0.007776,0.005980,-1.000000,-1.000000,-1.000000,
