MMA CPU Loading,MMA CPU Computing,MMA CPU Outputing,MMA CUDA Loading,MMA CUDA Computing,MMA CUDA Outputing,MMA CUDA Shared Loading,MMA CUDA Shared Computing,MMA CUDA Shared Outputing,MMA Tensor Loading,MMA Tensor Computing,MMA Tensor Outputing,MMA Tensor Shared Loading,MMA Tensor Shared Computing,MMA Tensor Shared Outputing,
0.002954,0.027090,0.000649,0.023782,0.001767,0.025462,0.024007,0.001690,0.018020,0.046621,0.001787,0.017002,0.042117,0.001774,0.018710,
0.002993,0.027059,0.000701,0.024300,0.001766,0.025097,0.023631,0.001845,0.017899,0.045367,0.001800,0.017369,0.041949,0.001849,0.018681,
0.003055,0.033523,0.000650,0.024512,0.001834,0.025820,0.025243,0.002124,0.018384,0.046171,0.001784,0.017449,0.042100,0.001706,0.018569,
0.003087,0.026245,0.000711,0.022923,0.002309,0.025911,0.023542,0.001787,0.017527,0.046565,0.001802,0.017108,0.042267,0.001811,0.018324,
0.003034,0.026025,0.000697,0.024689,0.001801,0.025582,0.026278,0.001761,0.018047,0.048752,0.002375,0.017420,0.041436,0.001843,0.017607,
0.002995,0.026203,0.000664,0.022915,0.001771,0.025625,0.023757,0.001772,0.018476,0.045322,0.001795,0.017330,0.041889,0.001830,0.017638,
0.002965,0.025998,0.000678,0.023675,0.001860,0.025773,0.024246,0.002213,0.017443,0.048540,0.001787,0.017193,0.042540,0.001770,0.018114,
0.003033,0.025924,0.000662,0.024501,0.002245,0.025776,0.024172,0.001882,0.018462,0.045467,0.001845,0.017163,0.042563,0.001839,0.017948,

Multi run computation test (with deallocation), execution count :50,
MMA CPU Loading,MMA CPU Computing,MMA CPU Outputing,MMA CUDA Loading,MMA CUDA Computing,MMA CUDA Outputing,MMA CUDA Shared Loading,MMA CUDA Shared Computing,MMA CUDA Shared Outputing,MMA Tensor Loading,MMA Tensor Computing,MMA Tensor Outputing,MMA Tensor Shared Loading,MMA Tensor Shared Computing,MMA Tensor Shared Outputing,
0.004740,25.237146,0.001445,0.296029,0.015381,0.027871,1.093373,0.003478,0.016668,0.102651,0.002994,0.017108,0.104347,0.003675,0.018251,
0.006560,0.035453,0.000788,0.086750,0.003825,0.027835,0.078114,0.003182,0.017402,0.103169,0.002735,0.017677,0.097539,0.002768,0.017550,
0.004040,0.033288,0.000802,0.080923,0.003630,0.025759,0.078392,0.003210,0.017871,0.101627,0.002638,0.017135,1.284058,0.003314,0.016481,
0.004024,0.033389,0.000781,0.078634,0.003359,0.024811,0.076862,0.002992,0.017978,0.099523,0.002638,0.017233,0.096948,0.002914,0.016791,
0.004027,0.032988,0.000809,0.078214,0.003154,0.025987,0.077340,0.003117,0.017835,0.097410,0.002574,0.017283,0.100163,0.002777,0.016147,
0.003995,0.032868,0.000771,0.078915,0.003154,0.025685,0.076372,0.003067,0.017497,0.096159,0.002562,0.018693,0.092546,0.002887,0.015610,
0.004025,0.032701,0.000725,0.078153,0.003235,0.025395,0.078051,0.003214,0.017745,0.095061,0.002574,0.017426,0.095890,0.003258,0.017491,
0.004029,0.033189,0.000763,0.079143,0.003224,0.025801,0.077522,0.003116,0.017288,0.096517,0.002787,0.017234,0.502906,0.002981,0.018120,
0.004067,0.036110,0.000778,0.078674,0.003304,0.025223,0.077296,0.003026,0.017542,0.103046,0.002720,0.017980,0.089680,0.002777,0.017329,
0.004059,0.032908,0.000746,0.078647,0.003134,0.025304,0.077374,0.003068,0.017680,0.102694,0.002722,0.017368,0.265131,0.002731,0.018025,
0.004048,0.033393,0.000747,0.078052,0.003123,0.025991,0.078133,0.003140,0.017324,0.101226,0.002669,0.016993,0.087490,0.002629,0.017375,
