MMA CPU Loading,MMA CPU Computing,MMA CPU Outputing,MMA CUDA Loading,MMA CUDA Computing,MMA CUDA Outputing,MMA CUDA Shared Loading,MMA CUDA Shared Computing,MMA CUDA Shared Outputing,MMA CUDA Shared Half Rect Tiling 32*64 Loading,MMA CUDA Shared Half Rect Tiling 32*64 Computing,MMA CUDA Shared Half Rect Tiling 32*64 Outputing,MMA CUDA Shared Half Rect Tiling 32*96 Loading,MMA CUDA Shared Half Rect Tiling 32*96 Computing,MMA CUDA Shared Half Rect Tiling 32*96 Outputing,MMA CUDA Shared 16 Tile Loading,MMA CUDA Shared 16 Tile Computing,MMA CUDA Shared 16 Tile Outputing,MMA CUDA Shared Halfs 32 Tile Loading,MMA CUDA Shared Halfs 32 Tile Computing,MMA CUDA Shared Halfs 32 Tile Outputing,MMA Tensor Loading,MMA Tensor Computing,MMA Tensor Outputing,MMA Cublas Loading,MMA Cublas Computing,MMA Cublas Outputing,
0.000372,0.018464,0.000142,0.015575,0.008576,0.005976,0.015549,0.007936,0.006327,0.018053,0.002048,0.005873,0.019238,0.001888,0.005968,0.032843,0.009504,0.013724,0.044696,0.010208,0.013940,0.043164,0.004096,0.012591,0.036614,0.002880,0.012319,
0.000380,0.018397,0.000143,0.016283,0.010208,0.006479,0.024948,0.007648,0.006568,0.017799,0.001888,0.005953,0.018668,0.002400,0.006478,0.030205,0.009568,0.012717,0.044548,0.010400,0.013174,0.043014,0.003296,0.013236,0.037275,0.003136,0.012426,
0.000372,0.018266,0.000146,0.015815,0.008768,0.006095,0.015760,0.006784,0.005983,0.018114,0.002048,0.006061,0.018698,0.002048,0.006126,0.029253,0.008192,0.013722,0.043468,0.010880,0.013339,0.042808,0.002528,0.013053,0.037295,0.002048,0.022374,
0.000378,0.018281,0.000134,0.015504,0.008640,0.005974,0.015510,0.007552,0.005968,0.018626,0.002048,0.006154,0.018898,0.002048,0.006020,0.029766,0.009728,0.013088,0.043636,0.010752,0.013146,0.042859,0.002560,0.012415,0.013633,0.002048,0.006048,
0.000380,0.018268,0.000124,0.016080,0.009856,0.005983,0.015478,0.007552,0.005925,0.018371,0.002048,0.005985,0.018476,0.001888,0.015584,0.030186,0.009088,0.012614,0.044298,0.011520,0.013500,0.043203,0.004000,0.012607,0.013300,0.001920,0.005770,
0.000374,0.018059,0.000145,0.015626,0.010272,0.005919,0.016328,0.006848,0.006074,0.018862,0.002048,0.006110,0.018097,0.002048,0.006086,0.029380,0.008192,0.012850,0.043625,0.011360,0.013096,0.044592,0.002496,0.013380,0.013875,0.002048,0.005795,
0.000381,0.018227,0.000159,0.016158,0.009760,0.006493,0.016190,0.007712,0.006076,0.017938,0.001920,0.005969,0.018419,0.002016,0.006036,0.030175,0.009440,0.013085,0.043338,0.010240,0.013778,0.044311,0.004064,0.012500,0.013388,0.002048,0.005856,
0.000379,0.018148,0.000161,0.016018,0.009152,0.006301,0.015699,0.008160,0.006015,0.018737,0.001888,0.005973,0.018886,0.002048,0.006077,0.029426,0.008576,0.012633,0.045006,0.010560,0.013122,0.052146,0.002208,0.006256,0.013961,0.001920,0.005793,
0.000381,0.018408,0.000131,0.015876,0.009728,0.006538,0.015744,0.007744,0.006323,0.019484,0.001888,0.005882,0.018128,0.001888,0.005879,0.029422,0.008352,0.013447,0.044601,0.010240,0.013787,0.018505,0.001920,0.005761,0.013960,0.002112,0.006252,
0.000366,0.018168,0.000148,0.015340,0.010144,0.005952,0.015864,0.008192,0.005965,0.018651,0.001888,0.006078,0.018398,0.001024,0.005872,0.029963,0.009280,0.012846,0.044114,0.010976,0.013083,0.018156,0.002048,0.005981,0.013248,0.002048,0.005832,
